Event Link,Event Name,Date,Venue,Location
https://www.tapology.com/fightcenter/events/91828-ufc-281,UFC 281: Adesanya vs. Pereira,"Saturday, November 12, 2022",Madison Square Garden,"New York, NY"
https://www.tapology.com/fightcenter/events/91921-ufc-fight-night,UFC Fight Night: Rodriguez vs. Lemos,"Saturday, November 05, 2022",UFC Apex,"Las Vegas, NV"
https://www.tapology.com/fightcenter/events/91651-ufc-fight-night,UFC Fight Night: Kattar vs. Allen,"Saturday, October 29, 2022",UFC APEX,"Las Vegas, NV"
https://www.tapology.com/fightcenter/events/87755-ufc-281,UFC 280: Oliveira vs. Makhachev,"Saturday, October 22, 2022",Etihad Arena,"Dubai, AE"
https://www.tapology.com/fightcenter/events/90713-ufc-fight-night,UFC Fight Night: Grasso vs. Araujo,"Saturday, October 15, 2022",UFC Apex,"Las Vegas, NV"
https://www.tapology.com/fightcenter/events/89894-ufc-fight-night,UFC Fight Night: Dern vs. Yan,"Saturday, October 01, 2022",UFC Apex,"Las Vegas, NV"
https://www.tapology.com/fightcenter/events/90191-ufc-fight-night,UFC Fight Night: Sandhagen vs. Song,"Saturday, September 17, 2022",UFC APEX,"Las Vegas, NV"
https://www.tapology.com/fightcenter/events/89492-ufc-fight-night,UFC 279: Diaz vs. Ferguson,"Saturday, September 10, 2022",T-Mobile Arena,"Las Vegas, NV"
https://www.tapology.com/fightcenter/events/88967-ufc-fight-night,UFC Fight Night: Gane vs. Tuivasa,"Saturday, September 03, 2022",Accor Arena,"Paris, IDF"
https://www.tapology.com/fightcenter/events/89354-ufc-fight-night,UFC 278: Usman vs. Edwards 2,"Saturday, August 20, 2022",Vivint Arena,"Salt Lake City, UT"
https://www.tapology.com/fightcenter/events/89355-ufc-fight-night,UFC Fight Night: Vera vs. Cruz,"Saturday, August 13, 2022",Pechanga Arena,"San Diego, CA"
https://www.tapology.com/fightcenter/events/89111-ufc-fight-night-santos-vs-hill,UFC Fight Night: Santos vs. Hill,"Saturday, August 06, 2022",UFC APEX,"Las Vegas, NV"
https://www.tapology.com/fightcenter/events/87975-ufc-fight-night,UFC 277: Peña vs. Nunes 2,"Saturday, July 30, 2022",American Airlines Center,"Dallas, TX"
https://www.tapology.com/fightcenter/events/88711-ufc-fight-night,UFC Fight Night: Blaydes vs. Aspinall,"Saturday, July 23, 2022",02 Arena,"London, GB"
https://www.tapology.com/fightcenter/events/88485-ufc-fight-night,UFC on ABC 3: Ortega vs. Rodriguez,"Saturday, July 16, 2022",UBS Arena,"Elmont, NY"
https://www.tapology.com/fightcenter/events/88397-ufc-fight-night,UFC Fight Night: Dos Anjos vs. Fiziev,"Saturday, July 09, 2022",UFC APEX,"Las Vegas, NV"
https://www.tapology.com/fightcenter/events/87604-ufc-276,UFC 276: Adesanya vs. Cannonier,"Saturday, July 02, 2022",T-Mobile Arena,"Las Vegas, NV"
https://www.tapology.com/fightcenter/events/87971-ufc-fight-night,UFC Fight Night: Tsarukyan vs. Gamrot,"Saturday, June 25, 2022",UFC APEX,"Las Vegas, NV"
https://www.tapology.com/fightcenter/events/88108-ufc-fight-night,UFC Fight Night: Kattar vs. Emmett,"Saturday, June 18, 2022",Moody Center,"Austin, TX"
https://www.tapology.com/fightcenter/events/87286-ufc-275-teixeira-vs-prochazka,UFC 275: Teixeira vs. Procházka,"Saturday, June 11, 2022",Singapore Indoor Stadium,SG
https://www.tapology.com/fightcenter/events/86746-ufc-fight-night,UFC Fight Night: Volkov vs. Rozenstruik,"Saturday, June 04, 2022",UFC APEX,"Las Vegas, NV"
https://www.tapology.com/fightcenter/events/86509-ufc-fight-night,UFC Fight Night: Holm vs. Vieira,"Saturday, May 21, 2022",UFC APEX,"Las Vegas, NV"
https://www.tapology.com/fightcenter/events/85916-ufc-fight-night,UFC Fight Night: Błachowicz vs. Rakić,"Saturday, May 14, 2022",UFC APEX,"Las Vegas, NV"
https://www.tapology.com/fightcenter/events/85253-ufc-274,UFC 274: Oliveira vs. Gaethje,"Saturday, May 07, 2022",Footprint Center,"Phoenix, AZ"
https://www.tapology.com/fightcenter/events/86142-ufc-fight-night,UFC Fight Night: Font vs. Vera,"Saturday, April 30, 2022",UFC APEX,"Las Vegas, NV"
https://www.tapology.com/fightcenter/events/86013-ufc-fight-night,UFC Fight Night: Lemos vs. Andrade,"Saturday, April 23, 2022",UFC APEX,"Las Vegas, NV"
https://www.tapology.com/fightcenter/events/85814-ufc-fight-night,UFC Fight Night: Luque vs. Muhammad 2,"Saturday, April 16, 2022",UFC APEX,"Las Vegas, NV"
https://www.tapology.com/fightcenter/events/85306-ufc-fight-night,UFC 273: Volkanovski vs. Korean Zombie,"Saturday, April 09, 2022",VyStar Veterans Memorial Arena,"Jacksonville, FL"
https://www.tapology.com/fightcenter/events/84285-ufc-fight-night,UFC Fight Night: Blaydes vs. Daukaus,"Saturday, March 26, 2022",Nationwide Arena,"Columbus, OH"
